column,lower_bound,upper_bound,values_clipped
soil_moisture_change,-23.95750956826236,24.122804458265048,0
soil_moisture_rolling_mean,13.558248477543042,26.731774297740753,242
soil_moisture_stress,-10.228129608321524,17.046882680535873,0
crop_soil_moisture_mean,18.97514380949351,21.3451068257858,2202
crop_temperature_mean,14.621933015449999,36.33871296545,0
crop_humidity_mean,11.98636006649999,137.00899002330002,0
crop_rainfall_mean,-44.23138033635,254.74337038245,0
crop_irrigation_frequency_mean,3.1999999999999997,3.8400000000000003,2202
crop_density_mean,10.693507233031301,13.96298198155431,0
crop_pest_pressure_mean,39.29938041546968,61.51613033582465,0
crop_fertilizer_usage_mean,114.38884320800759,136.4990384174638,0
crop_frost_risk_mean,42.45301972818268,58.00327699706352,0
crop_water_efficiency_mean,2.7190271228568568,3.313090677885355,0
crop_water_factor,0.8972603994125954,1.093297319449378,0
previous_water_usage_liters,-33.255,55.425000000000004,0
